run_id,ts_utc,top_stories,show_hn,ask_hn,hiring_jobs
1,2026-09-03T20:05:39Z,119,48,1,
2,2026-09-03T20:07:12Z,119,48,1,
3,2026-09-04T11:01:31Z,119,47,2,
4,2026-09-04T14:00:56Z,119,48,1,
5,2026-09-04T17:00:54Z,119,50,2,
6,2026-09-04T20:00:22Z,119,48,3,
7,2026-09-05T11:01:45Z,119,48,1,
8,2026-09-05T14:00:31Z,119,47,1,
9,2026-09-05T17:00:41Z,119,47,1,
10,2026-09-05T20:02:12Z,119,47,1,
11,2026-09-06T11:00:19Z,119,49,1,
12,2026-09-06T14:00:47Z,119,50,1,
13,2026-09-06T17:01:00Z,119,49,1,
14,2026-09-06T20:00:28Z,119,49,0,
15,2026-09-07T11:00:46Z,119,46,1,
16,2026-09-07T14:02:12Z,119,46,1,
17,2026-09-07T17:00:27Z,119,46,1,
18,2026-09-07T20:00:57Z,119,43,1,
19,2026-09-08T11:00:15Z,119,46,3,
20,2026-09-08T14:00:43Z,119,45,3,
21,2026-09-08T17:01:14Z,119,47,2,
22,2026-09-08T20:00:21Z,119,46,2,
23,2026-09-09T11:00:46Z,119,47,1,
24,2026-09-09T14:01:35Z,119,48,1,
25,2026-09-09T17:00:38Z,119,48,5,
26,2026-09-09T20:02:11Z,119,45,5,
27,2026-09-10T11:00:27Z,119,44,4,
28,2026-09-10T14:00:52Z,119,45,2,
29,2026-09-10T17:00:16Z,119,44,0,
30,2026-09-10T20:00:43Z,119,43,2,
